Input Board,decision,Output Board,Input Graph,Output Graph
OOXX O  X,7,OOXX OX X,"[[2, 2, 1], [1, 0, 2], [0, 0, 1]]","[[2, 2, 1], [1, 0, 2], [1, 0, 1]]"
 XX OOXXO,1,OXX OOXXO,"[[0, 1, 1], [0, 2, 2], [1, 1, 2]]","[[2, 1, 1], [0, 2, 2], [1, 1, 2]]"
X OXO   X,7,X OXO O X,"[[1, 0, 2], [1, 2, 0], [0, 0, 1]]","[[1, 0, 2], [1, 2, 0], [2, 0, 1]]"
 OO  XX  ,1,XOO  XX  ,"[[0, 2, 2], [0, 0, 1], [1, 0, 0]]","[[1, 2, 2], [0, 0, 1], [1, 0, 0]]"
X X   O  ,2,XOX   O  ,"[[1, 0, 1], [0, 0, 0], [2, 0, 0]]","[[1, 2, 1], [0, 0, 0], [2, 0, 0]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
      OX ,3,  X   OX ,"[[0, 0, 0], [0, 0, 0], [2, 1, 0]]","[[0, 0, 1], [0, 0, 0], [2, 1, 0]]"
XXO    XO,6,XXO  O XO,"[[1, 1, 2], [0, 0, 0], [0, 1, 2]]","[[1, 1, 2], [0, 0, 2], [0, 1, 2]]"
O XOOXXX ,9,O XOOXXXO,"[[2, 0, 1], [2, 2, 1], [1, 1, 0]]","[[2, 0, 1], [2, 2, 1], [1, 1, 2]]"
   X   O ,3,  XX   O ,"[[0, 0, 0], [1, 0, 0], [0, 2, 0]]","[[0, 0, 1], [1, 0, 0], [0, 2, 0]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
 X       ,5, X  O    ,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 2, 0], [0, 0, 0]]"
O  OXXX O,3,O XOXXX O,"[[2, 0, 0], [2, 1, 1], [1, 0, 2]]","[[2, 0, 1], [2, 1, 1], [1, 0, 2]]"
X    O X ,9,X    O XO,"[[1, 0, 0], [0, 0, 2], [0, 1, 0]]","[[1, 0, 0], [0, 0, 2], [0, 1, 2]]"
XXOX  OO ,5,XXOXX OO ,"[[1, 1, 2], [1, 0, 0], [2, 2, 0]]","[[1, 1, 2], [1, 1, 0], [2, 2, 0]]"
OXXXO XO ,9,OXXXO XOO,"[[2, 1, 1], [1, 2, 0], [1, 2, 0]]","[[2, 1, 1], [1, 2, 0], [1, 2, 2]]"
      X  ,5,    O X  ,"[[0, 0, 0], [0, 0, 0], [1, 0, 0]]","[[0, 0, 0], [0, 2, 0], [1, 0, 0]]"
XO XOXOXO,3,XOXXOXOXO,"[[1, 2, 0], [1, 2, 1], [2, 1, 2]]","[[1, 2, 1], [1, 2, 1], [2, 1, 2]]"
        X,5,    O   X,"[[0, 0, 0], [0, 0, 0], [0, 0, 1]]","[[0, 0, 0], [0, 2, 0], [0, 0, 1]]"
O X   XOX,5,O X O XOX,"[[2, 0, 1], [0, 0, 0], [1, 2, 1]]","[[2, 0, 1], [0, 2, 0], [1, 2, 1]]"
 XX OOXO ,1,XXX OOXO ,"[[0, 1, 1], [0, 2, 2], [1, 2, 0]]","[[1, 1, 1], [0, 2, 2], [1, 2, 0]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
X O OOX X,4,X OXOOX X,"[[1, 0, 2], [0, 2, 2], [1, 0, 1]]","[[1, 0, 2], [1, 2, 2], [1, 0, 1]]"
OO X X X ,3,OOOX X X ,"[[2, 2, 0], [1, 0, 1], [0, 1, 0]]","[[2, 2, 2], [1, 0, 1], [0, 1, 0]]"
X XO  OXO,2,XXXO  OXO,"[[1, 0, 1], [2, 0, 0], [2, 1, 2]]","[[1, 1, 1], [2, 0, 0], [2, 1, 2]]"
 X       ,5, X  O    ,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 2, 0], [0, 0, 0]]"
 OX   XO ,5, OX X XO ,"[[0, 2, 1], [0, 0, 0], [1, 2, 0]]","[[0, 2, 1], [0, 1, 0], [1, 2, 0]]"
O XXOX   ,9,O XXOX  O,"[[2, 0, 1], [1, 2, 1], [0, 0, 0]]","[[2, 0, 1], [1, 2, 1], [0, 0, 2]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
     XO  ,7,     XX  ,"[[0, 0, 0], [0, 0, 1], [2, 0, 0]]","[[0, 0, 0], [0, 0, 1], [1, 0, 0]]"
X XX  OO ,9,X XX  OOO,"[[1, 0, 1], [1, 0, 0], [2, 2, 0]]","[[1, 0, 1], [1, 0, 0], [2, 2, 2]]"
XXOXXOO  ,9,XXOXXOO O,"[[1, 1, 2], [1, 1, 2], [2, 0, 0]]","[[1, 1, 2], [1, 1, 2], [2, 0, 2]]"
 X  OX XO,1,OX  OX XO,"[[0, 1, 0], [0, 2, 1], [0, 1, 2]]","[[2, 1, 0], [0, 2, 1], [0, 1, 2]]"
   X   XO,1,O  X   XO,"[[0, 0, 0], [1, 0, 0], [0, 1, 2]]","[[2, 0, 0], [1, 0, 0], [0, 1, 2]]"
   XOXO X,3,  OXOXO X,"[[0, 0, 0], [1, 2, 1], [2, 0, 1]]","[[0, 0, 2], [1, 2, 1], [2, 0, 1]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
 O      X,5, O  X   X,"[[0, 2, 0], [0, 0, 0], [0, 0, 1]]","[[0, 2, 0], [0, 1, 0], [0, 0, 1]]"
O XXOX O ,9,O XXOX OX,"[[2, 0, 1], [1, 2, 1], [0, 2, 0]]","[[2, 0, 1], [1, 2, 1], [0, 2, 1]]"
    XO XO,2, X  XO XO,"[[0, 0, 0], [0, 1, 2], [0, 1, 2]]","[[0, 1, 0], [0, 1, 2], [0, 1, 2]]"
  O X   X,1,O O X   X,"[[0, 0, 2], [0, 1, 0], [0, 0, 1]]","[[2, 0, 2], [0, 1, 0], [0, 0, 1]]"
O X X    ,7,O X X O  ,"[[2, 0, 1], [0, 1, 0], [0, 0, 0]]","[[2, 0, 1], [0, 1, 0], [2, 0, 0]]"
O    XOX ,4,O  X XOX ,"[[2, 0, 0], [0, 0, 1], [2, 1, 0]]","[[2, 0, 0], [1, 0, 1], [2, 1, 0]]"
  X     O,3,  X     O,"[[0, 0, 1], [0, 0, 0], [0, 0, 2]]","[[0, 0, 1], [0, 0, 0], [0, 0, 2]]"
      X O,5,    X X O,"[[0, 0, 0], [0, 0, 0], [1, 0, 2]]","[[0, 0, 0], [0, 1, 0], [1, 0, 2]]"
OO OXXX  ,3,OOXOXXX  ,"[[2, 2, 0], [2, 1, 1], [1, 0, 0]]","[[2, 2, 1], [2, 1, 1], [1, 0, 0]]"
OXXXXO O ,7,OXXXXOOO ,"[[2, 1, 1], [1, 1, 2], [0, 2, 0]]","[[2, 1, 1], [1, 1, 2], [2, 2, 0]]"
X OXX  OO,6,X OXXX OO,"[[1, 0, 2], [1, 1, 0], [0, 2, 2]]","[[1, 0, 2], [1, 1, 1], [0, 2, 2]]"
 X   O   ,7, X   OX  ,"[[0, 1, 0], [0, 0, 2], [0, 0, 0]]","[[0, 1, 0], [0, 0, 2], [1, 0, 0]]"
X      XO,9,X      XO,"[[1, 0, 0], [0, 0, 0], [0, 1, 2]]","[[1, 0, 0], [0, 0, 0], [0, 1, 2]]"
XOXXOX  O,8,XOXXOX OO,"[[1, 2, 1], [1, 2, 1], [0, 0, 2]]","[[1, 2, 1], [1, 2, 1], [0, 2, 2]]"
XOXX O XO,7,XOXX OOXO,"[[1, 2, 1], [1, 0, 2], [0, 1, 2]]","[[1, 2, 1], [1, 0, 2], [2, 1, 2]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
O X   X O,5,O X X X O,"[[2, 0, 1], [0, 0, 0], [1, 0, 2]]","[[2, 0, 1], [0, 1, 0], [1, 0, 2]]"
XX      O,3,XXO     O,"[[1, 1, 0], [0, 0, 0], [0, 0, 2]]","[[1, 1, 2], [0, 0, 0], [0, 0, 2]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
X XXOOOXO,2,XXXXOOOXO,"[[1, 0, 1], [1, 2, 2], [2, 1, 2]]","[[1, 1, 1], [1, 2, 2], [2, 1, 2]]"
X   O  X ,3,X O O  X ,"[[1, 0, 0], [0, 2, 0], [0, 1, 0]]","[[1, 0, 2], [0, 2, 0], [0, 1, 0]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
 X O XO X,1,OX O XO X,"[[0, 1, 0], [2, 0, 1], [2, 0, 1]]","[[2, 1, 0], [2, 0, 1], [2, 0, 1]]"
XO XOXO  ,3,XOXXOXO  ,"[[1, 2, 0], [1, 2, 1], [2, 0, 0]]","[[1, 2, 1], [1, 2, 1], [2, 0, 0]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
XX O XOXO,3,XXOO XOXO,"[[1, 1, 0], [2, 0, 1], [2, 1, 2]]","[[1, 1, 2], [2, 0, 1], [2, 1, 2]]"
O  O XX  ,9,O  O XX X,"[[2, 0, 0], [2, 0, 1], [1, 0, 0]]","[[2, 0, 0], [2, 0, 1], [1, 0, 1]]"
X XX OOXO,2,XOXX OOXO,"[[1, 0, 1], [1, 0, 2], [2, 1, 2]]","[[1, 2, 1], [1, 0, 2], [2, 1, 2]]"
   XXOXO ,1,O  XXOXO ,"[[0, 0, 0], [1, 1, 2], [1, 2, 0]]","[[2, 0, 0], [1, 1, 2], [1, 2, 0]]"
OX O X  X,7,OX O XO X,"[[2, 1, 0], [2, 0, 1], [0, 0, 1]]","[[2, 1, 0], [2, 0, 1], [2, 0, 1]]"
X  O OX  ,5,X  OXOX  ,"[[1, 0, 0], [2, 0, 2], [1, 0, 0]]","[[1, 0, 0], [2, 1, 2], [1, 0, 0]]"
 XOOOX X ,7, XOOOXXX ,"[[0, 1, 2], [2, 2, 1], [0, 1, 0]]","[[0, 1, 2], [2, 2, 1], [1, 1, 0]]"
        X,5,    O   X,"[[0, 0, 0], [0, 0, 0], [0, 0, 1]]","[[0, 0, 0], [0, 2, 0], [0, 0, 1]]"
X O   OXX,5,X O O OXX,"[[1, 0, 2], [0, 0, 0], [2, 1, 1]]","[[1, 0, 2], [0, 2, 0], [2, 1, 1]]"
 XXXXO OO,7, XXXXOOOO,"[[0, 1, 1], [1, 1, 2], [0, 2, 2]]","[[0, 1, 1], [1, 1, 2], [2, 2, 2]]"
X  OO X  ,6,X  OOXX  ,"[[1, 0, 0], [2, 2, 0], [1, 0, 0]]","[[1, 0, 0], [2, 2, 1], [1, 0, 0]]"
   OX    ,5,   OX    ,"[[0, 0, 0], [2, 1, 0], [0, 0, 0]]","[[0, 0, 0], [2, 1, 0], [0, 0, 0]]"
X O    X ,7,X O   OX ,"[[1, 0, 2], [0, 0, 0], [0, 1, 0]]","[[1, 0, 2], [0, 0, 0], [2, 1, 0]]"
O XX     ,5,O XXO    ,"[[2, 0, 1], [1, 0, 0], [0, 0, 0]]","[[2, 0, 1], [1, 2, 0], [0, 0, 0]]"
OO  XX XO,4,OO XXX XO,"[[2, 2, 0], [0, 1, 1], [0, 1, 2]]","[[2, 2, 0], [1, 1, 1], [0, 1, 2]]"
      X  ,5,    O X  ,"[[0, 0, 0], [0, 0, 0], [1, 0, 0]]","[[0, 0, 0], [0, 2, 0], [1, 0, 0]]"
XX OX O  ,3,XXOOX O  ,"[[1, 1, 0], [2, 1, 0], [2, 0, 0]]","[[1, 1, 2], [2, 1, 0], [2, 0, 0]]"
OXX O  OX,6,OXX OX OX,"[[2, 1, 1], [0, 2, 0], [0, 2, 1]]","[[2, 1, 1], [0, 2, 1], [0, 2, 1]]"
 XOX XOO ,5, XOXXXOO ,"[[0, 1, 2], [1, 0, 1], [2, 2, 0]]","[[0, 1, 2], [1, 1, 1], [2, 2, 0]]"
   XOX   ,5,   XOX   ,"[[0, 0, 0], [1, 2, 1], [0, 0, 0]]","[[0, 0, 0], [1, 2, 1], [0, 0, 0]]"
 X  O    ,3, XX O    ,"[[0, 1, 0], [0, 2, 0], [0, 0, 0]]","[[0, 1, 1], [0, 2, 0], [0, 0, 0]]"
 XXOOXO  ,1,XXXOOXO  ,"[[0, 1, 1], [2, 2, 1], [2, 0, 0]]","[[1, 1, 1], [2, 2, 1], [2, 0, 0]]"
X OX  OXO,5,X OXX OXO,"[[1, 0, 2], [1, 0, 0], [2, 1, 2]]","[[1, 0, 2], [1, 1, 0], [2, 1, 2]]"
         ,9,        X,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 0, 1]]"
O XX     ,5,O XXO    ,"[[2, 0, 1], [1, 0, 0], [0, 0, 0]]","[[2, 0, 1], [1, 2, 0], [0, 0, 0]]"
 O  X   X,1,OO  X   X,"[[0, 2, 0], [0, 1, 0], [0, 0, 1]]","[[2, 2, 0], [0, 1, 0], [0, 0, 1]]"
   XX O O,6,   XXXO O,"[[0, 0, 0], [1, 1, 0], [2, 0, 2]]","[[0, 0, 0], [1, 1, 1], [2, 0, 2]]"
   X   O ,5,   XX  O ,"[[0, 0, 0], [1, 0, 0], [0, 2, 0]]","[[0, 0, 0], [1, 1, 0], [0, 2, 0]]"
 X OO X  ,6, X OOXX  ,"[[0, 1, 0], [2, 2, 0], [1, 0, 0]]","[[0, 1, 0], [2, 2, 1], [1, 0, 0]]"
  O   XX ,9,  O   XXO,"[[0, 0, 2], [0, 0, 0], [1, 1, 0]]","[[0, 0, 2], [0, 0, 0], [1, 1, 2]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
O XO   X ,7,O XO  XX ,"[[2, 0, 1], [2, 0, 0], [0, 1, 0]]","[[2, 0, 1], [2, 0, 0], [1, 1, 0]]"
O   X XO ,3,O X X XO ,"[[2, 0, 0], [0, 1, 0], [1, 2, 0]]","[[2, 0, 1], [0, 1, 0], [1, 2, 0]]"
 O   X   ,5, O  XX   ,"[[0, 2, 0], [0, 0, 1], [0, 0, 0]]","[[0, 2, 0], [0, 1, 1], [0, 0, 0]]"
XXO O  OX,7,XXO O XOX,"[[1, 1, 2], [0, 2, 0], [0, 2, 1]]","[[1, 1, 2], [0, 2, 0], [1, 2, 1]]"
XO     X ,7,XO    OX ,"[[1, 2, 0], [0, 0, 0], [0, 1, 0]]","[[1, 2, 0], [0, 0, 0], [2, 1, 0]]"
XX  XO O ,3,XXO XO O ,"[[1, 1, 0], [0, 1, 2], [0, 2, 0]]","[[1, 1, 2], [0, 1, 2], [0, 2, 0]]"
  OXX XOO,1,X OXX XOO,"[[0, 0, 2], [1, 1, 0], [1, 2, 2]]","[[1, 0, 2], [1, 1, 0], [1, 2, 2]]"
X    X  O,9,X    X  O,"[[1, 0, 0], [0, 0, 1], [0, 0, 2]]","[[1, 0, 0], [0, 0, 1], [0, 0, 2]]"
OX   O  X,1,XX   O  X,"[[2, 1, 0], [0, 0, 2], [0, 0, 1]]","[[1, 1, 0], [0, 0, 2], [0, 0, 1]]"
  O  X X ,3,  O  X X ,"[[0, 0, 2], [0, 0, 1], [0, 1, 0]]","[[0, 0, 2], [0, 0, 1], [0, 1, 0]]"
       X ,5,    O  X ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 2, 0], [0, 1, 0]]"
 OO X XX ,1,OOO X XX ,"[[0, 2, 2], [0, 1, 0], [1, 1, 0]]","[[2, 2, 2], [0, 1, 0], [1, 1, 0]]"
X   XO   ,9,X   XO  O,"[[1, 0, 0], [0, 1, 2], [0, 0, 0]]","[[1, 0, 0], [0, 1, 2], [0, 0, 2]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
 O XX    ,6, O XXO   ,"[[0, 2, 0], [1, 1, 0], [0, 0, 0]]","[[0, 2, 0], [1, 1, 2], [0, 0, 0]]"
OXX O OXX,4,OXXOO OXX,"[[2, 1, 1], [0, 2, 0], [2, 1, 1]]","[[2, 1, 1], [2, 2, 0], [2, 1, 1]]"
O X X O  ,4,O XXX O  ,"[[2, 0, 1], [0, 1, 0], [2, 0, 0]]","[[2, 0, 1], [1, 1, 0], [2, 0, 0]]"
X       O,9,X       X,"[[1, 0, 0], [0, 0, 0], [0, 0, 2]]","[[1, 0, 0], [0, 0, 0], [0, 0, 1]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
XX    O O,3,XXX   O O,"[[1, 1, 0], [0, 0, 0], [2, 0, 2]]","[[1, 1, 1], [0, 0, 0], [2, 0, 2]]"
O  OOX XX,3,O XOOX XX,"[[2, 0, 0], [2, 2, 1], [0, 1, 1]]","[[2, 0, 1], [2, 2, 1], [0, 1, 1]]"
 X XO XO ,1,OX XO XO ,"[[0, 1, 0], [1, 2, 0], [1, 2, 0]]","[[2, 1, 0], [1, 2, 0], [1, 2, 0]]"
 X XOXO  ,3, XOXOXO  ,"[[0, 1, 0], [1, 2, 1], [2, 0, 0]]","[[0, 1, 2], [1, 2, 1], [2, 0, 0]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
   XX O  ,6,   XXOO  ,"[[0, 0, 0], [1, 1, 0], [2, 0, 0]]","[[0, 0, 0], [1, 1, 2], [2, 0, 0]]"
         ,3,  X      ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 1], [0, 0, 0], [0, 0, 0]]"
 XOX O X ,9, XOX O XO,"[[0, 1, 2], [1, 0, 2], [0, 1, 0]]","[[0, 1, 2], [1, 0, 2], [0, 1, 2]]"
  OX XOX ,5,  OXOXOX ,"[[0, 0, 2], [1, 0, 1], [2, 1, 0]]","[[0, 0, 2], [1, 2, 1], [2, 1, 0]]"
OX    O X,4,OX X  O X,"[[2, 1, 0], [0, 0, 0], [2, 0, 1]]","[[2, 1, 0], [1, 0, 0], [2, 0, 1]]"
 X    X O,3, XO   X O,"[[0, 1, 0], [0, 0, 0], [1, 0, 2]]","[[0, 1, 2], [0, 0, 0], [1, 0, 2]]"
O XOX    ,7,O XOX X  ,"[[2, 0, 1], [2, 1, 0], [0, 0, 0]]","[[2, 0, 1], [2, 1, 0], [1, 0, 0]]"
     X O ,5,    XX O ,"[[0, 0, 0], [0, 0, 1], [0, 2, 0]]","[[0, 0, 0], [0, 1, 1], [0, 2, 0]]"
O  X O  X,1,X  X O  X,"[[2, 0, 0], [1, 0, 2], [0, 0, 1]]","[[1, 0, 0], [1, 0, 2], [0, 0, 1]]"
XOXXXOOO ,9,XOXXXOOOX,"[[1, 2, 1], [1, 1, 2], [2, 2, 0]]","[[1, 2, 1], [1, 1, 2], [2, 2, 1]]"
O X OXOX ,9,O X OXOXX,"[[2, 0, 1], [0, 2, 1], [2, 1, 0]]","[[2, 0, 1], [0, 2, 1], [2, 1, 1]]"
 X XO   O,1,XX XO   O,"[[0, 1, 0], [1, 2, 0], [0, 0, 2]]","[[1, 1, 0], [1, 2, 0], [0, 0, 2]]"
O     XXO,5,O   X XXO,"[[2, 0, 0], [0, 0, 0], [1, 1, 2]]","[[2, 0, 0], [0, 1, 0], [1, 1, 2]]"
O  OXX  X,7,O  OXXO X,"[[2, 0, 0], [2, 1, 1], [0, 0, 1]]","[[2, 0, 0], [2, 1, 1], [2, 0, 1]]"
 O OOX XX,3, OXOOX XX,"[[0, 2, 0], [2, 2, 1], [0, 1, 1]]","[[0, 2, 1], [2, 2, 1], [0, 1, 1]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
  O X    ,1,X O X    ,"[[0, 0, 2], [0, 1, 0], [0, 0, 0]]","[[1, 0, 2], [0, 1, 0], [0, 0, 0]]"
  XO X   ,9,  XO X  O,"[[0, 0, 1], [2, 0, 1], [0, 0, 0]]","[[0, 0, 1], [2, 0, 1], [0, 0, 2]]"
     O  X,9,     O  X,"[[0, 0, 0], [0, 0, 2], [0, 0, 1]]","[[0, 0, 0], [0, 0, 2], [0, 0, 1]]"
OX   O  X,9,OX   O  X,"[[2, 1, 0], [0, 0, 2], [0, 0, 1]]","[[2, 1, 0], [0, 0, 2], [0, 0, 1]]"
O   X   X,3,O O X   X,"[[2, 0, 0], [0, 1, 0], [0, 0, 1]]","[[2, 0, 2], [0, 1, 0], [0, 0, 1]]"
OX XO  X ,9,OX XO  XO,"[[2, 1, 0], [1, 2, 0], [0, 1, 0]]","[[2, 1, 0], [1, 2, 0], [0, 1, 2]]"
 X O X   ,9, X O X  O,"[[0, 1, 0], [2, 0, 1], [0, 0, 0]]","[[0, 1, 0], [2, 0, 1], [0, 0, 2]]"
XO XXOOX ,9,XO XXOOXO,"[[1, 2, 0], [1, 1, 2], [2, 1, 0]]","[[1, 2, 0], [1, 1, 2], [2, 1, 2]]"
        X,5,    O   X,"[[0, 0, 0], [0, 0, 0], [0, 0, 1]]","[[0, 0, 0], [0, 2, 0], [0, 0, 1]]"
X XO  O  ,2,XXXO  O  ,"[[1, 0, 1], [2, 0, 0], [2, 0, 0]]","[[1, 1, 1], [2, 0, 0], [2, 0, 0]]"
 OO XXXOX,1,OOO XXXOX,"[[0, 2, 2], [0, 1, 1], [1, 2, 1]]","[[2, 2, 2], [0, 1, 1], [1, 2, 1]]"
   X     ,5,   XO    ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 2, 0], [0, 0, 0]]"
O X      ,1,X X      ,"[[2, 0, 1], [0, 0, 0], [0, 0, 0]]","[[1, 0, 1], [0, 0, 0], [0, 0, 0]]"
 OX  OX  ,5, OX XOX  ,"[[0, 2, 1], [0, 0, 2], [1, 0, 0]]","[[0, 2, 1], [0, 1, 2], [1, 0, 0]]"
XXOOOX   ,7,XXOOOXX  ,"[[1, 1, 2], [2, 2, 1], [0, 0, 0]]","[[1, 1, 2], [2, 2, 1], [1, 0, 0]]"
 O  XXOXO,4, O XXXOXO,"[[0, 2, 0], [0, 1, 1], [2, 1, 2]]","[[0, 2, 0], [1, 1, 1], [2, 1, 2]]"
X O OX   ,7,X O OXX  ,"[[1, 0, 2], [0, 2, 1], [0, 0, 0]]","[[1, 0, 2], [0, 2, 1], [1, 0, 0]]"
         ,1,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
   O   X ,3,  XO   X ,"[[0, 0, 0], [2, 0, 0], [0, 1, 0]]","[[0, 0, 1], [2, 0, 0], [0, 1, 0]]"
X  O  XXO,3,X OO  XXO,"[[1, 0, 0], [2, 0, 0], [1, 1, 2]]","[[1, 0, 2], [2, 0, 0], [1, 1, 2]]"
  XXXOOXO,2, OXXXOOXO,"[[0, 0, 1], [1, 1, 2], [2, 1, 2]]","[[0, 2, 1], [1, 1, 2], [2, 1, 2]]"
OXX  X OO,5,OXX XX OO,"[[2, 1, 1], [0, 0, 1], [0, 2, 2]]","[[2, 1, 1], [0, 1, 1], [0, 2, 2]]"
   O  X  ,1,X  O  X  ,"[[0, 0, 0], [2, 0, 0], [1, 0, 0]]","[[1, 0, 0], [2, 0, 0], [1, 0, 0]]"
 O O   XX,7, O O  XXX,"[[0, 2, 0], [2, 0, 0], [0, 1, 1]]","[[0, 2, 0], [2, 0, 0], [1, 1, 1]]"
XOO   X  ,4,XOOX  X  ,"[[1, 2, 2], [0, 0, 0], [1, 0, 0]]","[[1, 2, 2], [1, 0, 0], [1, 0, 0]]"
X XOO    ,2,XXXOO    ,"[[1, 0, 1], [2, 2, 0], [0, 0, 0]]","[[1, 1, 1], [2, 2, 0], [0, 0, 0]]"
X   O    ,5,X   X    ,"[[1, 0, 0], [0, 2, 0], [0, 0, 0]]","[[1, 0, 0], [0, 1, 0], [0, 0, 0]]"
     X   ,5,    OX   ,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [0, 2, 1], [0, 0, 0]]"
 OOX   XX,1,OOOX   XX,"[[0, 2, 2], [1, 0, 0], [0, 1, 1]]","[[2, 2, 2], [1, 0, 0], [0, 1, 1]]"
OOXXX  O ,6,OOXXXX O ,"[[2, 2, 1], [1, 1, 0], [0, 2, 0]]","[[2, 2, 1], [1, 1, 1], [0, 2, 0]]"
X OXOX O ,7,X OXOXXO ,"[[1, 0, 2], [1, 2, 1], [0, 2, 0]]","[[1, 0, 2], [1, 2, 1], [1, 2, 0]]"
   X  O  ,7,   X  X  ,"[[0, 0, 0], [1, 0, 0], [2, 0, 0]]","[[0, 0, 0], [1, 0, 0], [1, 0, 0]]"
XO       ,9,XO      X,"[[1, 2, 0], [0, 0, 0], [0, 0, 0]]","[[1, 2, 0], [0, 0, 0], [0, 0, 1]]"
X OOXXX O,8,X OOXXXOO,"[[1, 0, 2], [2, 1, 1], [1, 0, 2]]","[[1, 0, 2], [2, 1, 1], [1, 2, 2]]"
  X  O   ,9,  X  O  X,"[[0, 0, 1], [0, 0, 2], [0, 0, 0]]","[[0, 0, 1], [0, 0, 2], [0, 0, 1]]"
 XO X    ,8, XO X  O ,"[[0, 1, 2], [0, 1, 0], [0, 0, 0]]","[[0, 1, 2], [0, 1, 0], [0, 2, 0]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
X XO O   ,2,XXXO O   ,"[[1, 0, 1], [2, 0, 2], [0, 0, 0]]","[[1, 1, 1], [2, 0, 2], [0, 0, 0]]"
 XX OOXO ,1,XXX OOXO ,"[[0, 1, 1], [0, 2, 2], [1, 2, 0]]","[[1, 1, 1], [0, 2, 2], [1, 2, 0]]"
   X O  X,5,   XOO  X,"[[0, 0, 0], [1, 0, 2], [0, 0, 1]]","[[0, 0, 0], [1, 2, 2], [0, 0, 1]]"
X O      ,9,X O     X,"[[1, 0, 2], [0, 0, 0], [0, 0, 0]]","[[1, 0, 2], [0, 0, 0], [0, 0, 1]]"
XOXO     ,3,XOXO     ,"[[1, 2, 1], [2, 0, 0], [0, 0, 0]]","[[1, 2, 1], [2, 0, 0], [0, 0, 0]]"
OXXXOO OX,1,XXXXOO OX,"[[2, 1, 1], [1, 2, 2], [0, 2, 1]]","[[1, 1, 1], [1, 2, 2], [0, 2, 1]]"
   X     ,5,   XO    ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 2, 0], [0, 0, 0]]"
         ,7,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
 XOX XOO ,5, XOXXXOO ,"[[0, 1, 2], [1, 0, 1], [2, 2, 0]]","[[0, 1, 2], [1, 1, 1], [2, 2, 0]]"
