Input Board,decision,Output Board,Input Graph,Output Graph
X XOX OXO,2,XOXOX OXO,"[[1, 0, 1], [2, 1, 0], [2, 1, 2]]","[[1, 2, 1], [2, 1, 0], [2, 1, 2]]"
O OX X OX,5,O OXXX OX,"[[2, 0, 2], [1, 0, 1], [0, 2, 1]]","[[2, 0, 2], [1, 1, 1], [0, 2, 1]]"
XOO X X O,4,XOOXX X O,"[[1, 2, 2], [0, 1, 0], [1, 0, 2]]","[[1, 2, 2], [1, 1, 0], [1, 0, 2]]"
OX    OX ,5,OX  X OX ,"[[2, 1, 0], [0, 0, 0], [2, 1, 0]]","[[2, 1, 0], [0, 1, 0], [2, 1, 0]]"
X  O X  O,8,X  O X XO,"[[1, 0, 0], [2, 0, 1], [0, 0, 2]]","[[1, 0, 0], [2, 0, 1], [0, 1, 2]]"
OXXXO  O ,9,OXXXO  OX,"[[2, 1, 1], [1, 2, 0], [0, 2, 0]]","[[2, 1, 1], [1, 2, 0], [0, 2, 1]]"
  XO  XXO,5,  XOO XXO,"[[0, 0, 1], [2, 0, 0], [1, 1, 2]]","[[0, 0, 1], [2, 2, 0], [1, 1, 2]]"
X XO XO O,2,XXXO XO O,"[[1, 0, 1], [2, 0, 1], [2, 0, 2]]","[[1, 1, 1], [2, 0, 1], [2, 0, 2]]"
OO XOXOXX,3,OOXXOXOXX,"[[2, 2, 0], [1, 2, 1], [2, 1, 1]]","[[2, 2, 1], [1, 2, 1], [2, 1, 1]]"
XX X O  O,3,XXOX O  O,"[[1, 1, 0], [1, 0, 2], [0, 0, 2]]","[[1, 1, 2], [1, 0, 2], [0, 0, 2]]"
 XX OX OO,1,XXX OX OO,"[[0, 1, 1], [0, 2, 1], [0, 2, 2]]","[[1, 1, 1], [0, 2, 1], [0, 2, 2]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
  O O X X,1,X O O X X,"[[0, 0, 2], [0, 2, 0], [1, 0, 1]]","[[1, 0, 2], [0, 2, 0], [1, 0, 1]]"
X O X O  ,8,X O X OX ,"[[1, 0, 2], [0, 1, 0], [2, 0, 0]]","[[1, 0, 2], [0, 1, 0], [2, 1, 0]]"
 OXX O   ,7, OXX OX  ,"[[0, 2, 1], [1, 0, 2], [0, 0, 0]]","[[0, 2, 1], [1, 0, 2], [1, 0, 0]]"
         ,5,     X   ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 0]]"
  O X O X,2, XO X O X,"[[0, 0, 2], [0, 1, 0], [2, 0, 1]]","[[0, 1, 2], [0, 1, 0], [2, 0, 1]]"
       X ,7,      OX ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 0, 0], [2, 1, 0]]"
XO  XOXXO,3,XOO XOXXO,"[[1, 2, 0], [0, 1, 2], [1, 1, 2]]","[[1, 2, 2], [0, 1, 2], [1, 1, 2]]"
OXOX XOX ,5,OXOXOXOX ,"[[2, 1, 2], [1, 0, 1], [2, 1, 0]]","[[2, 1, 2], [1, 2, 1], [2, 1, 0]]"
O XOO XX ,9,O XOO XXX,"[[2, 0, 1], [2, 2, 0], [1, 1, 0]]","[[2, 0, 1], [2, 2, 0], [1, 1, 1]]"
X O     X,7,X O   O X,"[[1, 0, 2], [0, 0, 0], [0, 0, 1]]","[[1, 0, 2], [0, 0, 0], [2, 0, 1]]"
  XXO    ,2, OXXO    ,"[[0, 0, 1], [1, 2, 0], [0, 0, 0]]","[[0, 2, 1], [1, 2, 0], [0, 0, 0]]"
     X   ,3,  O  X   ,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 2], [0, 0, 1], [0, 0, 0]]"
XOXO   X ,9,XOXO   XO,"[[1, 2, 1], [2, 0, 0], [0, 1, 0]]","[[1, 2, 1], [2, 0, 0], [0, 1, 2]]"
XO OOXXX ,9,XO OOXXXO,"[[1, 2, 0], [2, 2, 1], [1, 1, 0]]","[[1, 2, 0], [2, 2, 1], [1, 1, 2]]"
OXX   O X,4,OXXO  O X,"[[2, 1, 1], [0, 0, 0], [2, 0, 1]]","[[2, 1, 1], [2, 0, 0], [2, 0, 1]]"
   OX  OX,3,  XOX  OX,"[[0, 0, 0], [2, 1, 0], [0, 2, 1]]","[[0, 0, 1], [2, 1, 0], [0, 2, 1]]"
 X  OXO  ,3, XX OXO  ,"[[0, 1, 0], [0, 2, 1], [2, 0, 0]]","[[0, 1, 1], [0, 2, 1], [2, 0, 0]]"
XXOO OOXX,5,XXOOXOOXX,"[[1, 1, 2], [2, 0, 2], [2, 1, 1]]","[[1, 1, 2], [2, 1, 2], [2, 1, 1]]"
  X    XO,2, OX    XO,"[[0, 0, 1], [0, 0, 0], [0, 1, 2]]","[[0, 2, 1], [0, 0, 0], [0, 1, 2]]"
    O X X,8,    O XOX,"[[0, 0, 0], [0, 2, 0], [1, 0, 1]]","[[0, 0, 0], [0, 2, 0], [1, 2, 1]]"
X OO XXOX,5,X OOOXXOX,"[[1, 0, 2], [2, 0, 1], [1, 2, 1]]","[[1, 0, 2], [2, 2, 1], [1, 2, 1]]"
         ,5, X       ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 0, 0], [0, 0, 0]]"
OX  O   X,3,OXX O   X,"[[2, 1, 0], [0, 2, 0], [0, 0, 1]]","[[2, 1, 1], [0, 2, 0], [0, 0, 1]]"
  OX  O X,5,  OXX O X,"[[0, 0, 2], [1, 0, 0], [2, 0, 1]]","[[0, 0, 2], [1, 1, 0], [2, 0, 1]]"
        X,5,    O   X,"[[0, 0, 0], [0, 0, 0], [0, 0, 1]]","[[0, 0, 0], [0, 2, 0], [0, 0, 1]]"
O XOXO  X,7,O XOXOX X,"[[2, 0, 1], [2, 1, 2], [0, 0, 1]]","[[2, 0, 1], [2, 1, 2], [1, 0, 1]]"
   O    X,7,   O  X X,"[[0, 0, 0], [2, 0, 0], [0, 0, 1]]","[[0, 0, 0], [2, 0, 0], [1, 0, 1]]"
       X ,2, O     X ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 2, 0], [0, 0, 0], [0, 1, 0]]"
         ,5,   X     ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 0, 0], [0, 0, 0]]"
         ,5,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
XX   O O ,5,XX  XO O ,"[[1, 1, 0], [0, 0, 2], [0, 2, 0]]","[[1, 1, 0], [0, 1, 2], [0, 2, 0]]"
         ,5, X       ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 0, 0], [0, 0, 0]]"
  XOXO X ,1,O XOXO X ,"[[0, 0, 1], [2, 1, 2], [0, 1, 0]]","[[2, 0, 1], [2, 1, 2], [0, 1, 0]]"
X O X  O ,6,X O XX O ,"[[1, 0, 2], [0, 1, 0], [0, 2, 0]]","[[1, 0, 2], [0, 1, 1], [0, 2, 0]]"
   XX  O ,7,   XX OO ,"[[0, 0, 0], [1, 1, 0], [0, 2, 0]]","[[0, 0, 0], [1, 1, 0], [2, 2, 0]]"
O X   OXX,4,O XO  OXX,"[[2, 0, 1], [0, 0, 0], [2, 1, 1]]","[[2, 0, 1], [2, 0, 0], [2, 1, 1]]"
XO X   O ,5,XO XX  O ,"[[1, 2, 0], [1, 0, 0], [0, 2, 0]]","[[1, 2, 0], [1, 1, 0], [0, 2, 0]]"
OXX OO XX,4,OXXOOO XX,"[[2, 1, 1], [0, 2, 2], [0, 1, 1]]","[[2, 1, 1], [2, 2, 2], [0, 1, 1]]"
   XX O O,8,   XX OXO,"[[0, 0, 0], [1, 1, 0], [2, 0, 2]]","[[0, 0, 0], [1, 1, 0], [2, 1, 2]]"
 XO X  O ,4, XOXX  O ,"[[0, 1, 2], [0, 1, 0], [0, 2, 0]]","[[0, 1, 2], [1, 1, 0], [0, 2, 0]]"
   X  OOX,2, X X  OOX,"[[0, 0, 0], [1, 0, 0], [2, 2, 1]]","[[0, 1, 0], [1, 0, 0], [2, 2, 1]]"
XOOOXX   ,9,XOOOXX  X,"[[1, 2, 2], [2, 1, 1], [0, 0, 0]]","[[1, 2, 2], [2, 1, 1], [0, 0, 1]]"
         ,5,     X   ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 0]]"
X O  X   ,4,X OO X   ,"[[1, 0, 2], [0, 0, 1], [0, 0, 0]]","[[1, 0, 2], [2, 0, 1], [0, 0, 0]]"
  O X  X ,2, OO X  X ,"[[0, 0, 2], [0, 1, 0], [0, 1, 0]]","[[0, 2, 2], [0, 1, 0], [0, 1, 0]]"
 O  X    ,4, O XX    ,"[[0, 2, 0], [0, 1, 0], [0, 0, 0]]","[[0, 2, 0], [1, 1, 0], [0, 0, 0]]"
 X   OXOX,1,OX   OXOX,"[[0, 1, 0], [0, 0, 2], [1, 2, 1]]","[[2, 1, 0], [0, 0, 2], [1, 2, 1]]"
    OOXX ,4,   XOOXX ,"[[0, 0, 0], [0, 2, 2], [1, 1, 0]]","[[0, 0, 0], [1, 2, 2], [1, 1, 0]]"
  X OO X ,4,  XXOO X ,"[[0, 0, 1], [0, 2, 2], [0, 1, 0]]","[[0, 0, 1], [1, 2, 2], [0, 1, 0]]"
X     X O,3,X O   X O,"[[1, 0, 0], [0, 0, 0], [1, 0, 2]]","[[1, 0, 2], [0, 0, 0], [1, 0, 2]]"
OOXX XX O,5,OOXXOXX O,"[[2, 2, 1], [1, 0, 1], [1, 0, 2]]","[[2, 2, 1], [1, 2, 1], [1, 0, 2]]"
  XXO    ,7,  XXO O  ,"[[0, 0, 1], [1, 2, 0], [0, 0, 0]]","[[0, 0, 1], [1, 2, 0], [2, 0, 0]]"
XXO OX   ,7,XXO OXO  ,"[[1, 1, 2], [0, 2, 1], [0, 0, 0]]","[[1, 1, 2], [0, 2, 1], [2, 0, 0]]"
         ,5,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
XX  OO   ,4,XX XOO   ,"[[1, 1, 0], [0, 2, 2], [0, 0, 0]]","[[1, 1, 0], [1, 2, 2], [0, 0, 0]]"
XOXO   OX,6,XOXO X OX,"[[1, 2, 1], [2, 0, 0], [0, 2, 1]]","[[1, 2, 1], [2, 0, 1], [0, 2, 1]]"
XXO OXXOO,4,XXOXOXXOO,"[[1, 1, 2], [0, 2, 1], [1, 2, 2]]","[[1, 1, 2], [1, 2, 1], [1, 2, 2]]"
O XO  X  ,9,O XO  X X,"[[2, 0, 1], [2, 0, 0], [1, 0, 0]]","[[2, 0, 1], [2, 0, 0], [1, 0, 1]]"
         ,5,     X   ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 0]]"
         ,5, X       ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 0, 0], [0, 0, 0]]"
OX X O OX,5,OX XXO OX,"[[2, 1, 0], [1, 0, 2], [0, 2, 1]]","[[2, 1, 0], [1, 1, 2], [0, 2, 1]]"
      XO ,1,X     XO ,"[[0, 0, 0], [0, 0, 0], [1, 2, 0]]","[[1, 0, 0], [0, 0, 0], [1, 2, 0]]"
 OXO  X X,8, OXO  XOX,"[[0, 2, 1], [2, 0, 0], [1, 0, 1]]","[[0, 2, 1], [2, 0, 0], [1, 2, 1]]"
 O     X ,4, O X   X ,"[[0, 2, 0], [0, 0, 0], [0, 1, 0]]","[[0, 2, 0], [1, 0, 0], [0, 1, 0]]"
O OX  X X,2,OOOX  X X,"[[2, 0, 2], [1, 0, 0], [1, 0, 1]]","[[2, 2, 2], [1, 0, 0], [1, 0, 1]]"
 XO   XXO,5, XO O XXO,"[[0, 1, 2], [0, 0, 0], [1, 1, 2]]","[[0, 1, 2], [0, 2, 0], [1, 1, 2]]"
     X   ,9,     X  O,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 2]]"
O XX O X ,5,O XXOO X ,"[[2, 0, 1], [1, 0, 2], [0, 1, 0]]","[[2, 0, 1], [1, 2, 2], [0, 1, 0]]"
XO     X ,9,XO     XO,"[[1, 2, 0], [0, 0, 0], [0, 1, 0]]","[[1, 2, 0], [0, 0, 0], [0, 1, 2]]"
X X  OXOO,5,X X XOXOO,"[[1, 0, 1], [0, 0, 2], [1, 2, 2]]","[[1, 0, 1], [0, 1, 2], [1, 2, 2]]"
         ,5,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
 XX O   O,1,XXX O   O,"[[0, 1, 1], [0, 2, 0], [0, 0, 2]]","[[1, 1, 1], [0, 2, 0], [0, 0, 2]]"
 XXXOOX O,1,OXXXOOX O,"[[0, 1, 1], [1, 2, 2], [1, 0, 2]]","[[2, 1, 1], [1, 2, 2], [1, 0, 2]]"
         ,5,    X    ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 1, 0], [0, 0, 0]]"
 XOO O XX,5, XOOXO XX,"[[0, 1, 2], [2, 0, 2], [0, 1, 1]]","[[0, 1, 2], [2, 1, 2], [0, 1, 1]]"
         ,5,     X   ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 0]]"
O O XX   ,2,OXO XX   ,"[[2, 0, 2], [0, 1, 1], [0, 0, 0]]","[[2, 1, 2], [0, 1, 1], [0, 0, 0]]"
O XOXX   ,7,O XOXXO  ,"[[2, 0, 1], [2, 1, 1], [0, 0, 0]]","[[2, 0, 1], [2, 1, 1], [2, 0, 0]]"
         ,5,     X   ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 0]]"
       XO,3,  X    XO,"[[0, 0, 0], [0, 0, 0], [0, 1, 2]]","[[0, 0, 1], [0, 0, 0], [0, 1, 2]]"
 X       ,5, X  O    ,"[[0, 1, 0], [0, 0, 0], [0, 0, 0]]","[[0, 1, 0], [0, 2, 0], [0, 0, 0]]"
         ,5,X        ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]"
     O  X,7,     OX X,"[[0, 0, 0], [0, 0, 2], [0, 0, 1]]","[[0, 0, 0], [0, 0, 2], [1, 0, 1]]"
XXOOXOXO ,9,XXOOXOXOX,"[[1, 1, 2], [2, 1, 2], [1, 2, 0]]","[[1, 1, 2], [2, 1, 2], [1, 2, 1]]"
O X   XOX,2,OOX   XOX,"[[2, 0, 1], [0, 0, 0], [1, 2, 1]]","[[2, 2, 1], [0, 0, 0], [1, 2, 1]]"
    O   X,2, X  O   X,"[[0, 0, 0], [0, 2, 0], [0, 0, 1]]","[[0, 1, 0], [0, 2, 0], [0, 0, 1]]"
  OO XX  ,1,X OO XX  ,"[[0, 0, 2], [2, 0, 1], [1, 0, 0]]","[[1, 0, 2], [2, 0, 1], [1, 0, 0]]"
XOXO  X O,5,XOXOX X O,"[[1, 2, 1], [2, 0, 0], [1, 0, 2]]","[[1, 2, 1], [2, 1, 0], [1, 0, 2]]"
   X   OX,5,   XO  OX,"[[0, 0, 0], [1, 0, 0], [0, 2, 1]]","[[0, 0, 0], [1, 2, 0], [0, 2, 1]]"
OXOXOOX X,8,OXOXOOXXX,"[[2, 1, 2], [1, 2, 2], [1, 0, 1]]","[[2, 1, 2], [1, 2, 2], [1, 1, 1]]"
  X OO X ,4,  XXOO X ,"[[0, 0, 1], [0, 2, 2], [0, 1, 0]]","[[0, 0, 1], [1, 2, 2], [0, 1, 0]]"
X OX XOOX,5,X OXOXOOX,"[[1, 0, 2], [1, 0, 1], [2, 2, 1]]","[[1, 0, 2], [1, 2, 1], [2, 2, 1]]"
    XO   ,8,    XO X ,"[[0, 0, 0], [0, 1, 2], [0, 0, 0]]","[[0, 0, 0], [0, 1, 2], [0, 1, 0]]"
O X  X  O,5,O X XX  O,"[[2, 0, 1], [0, 0, 1], [0, 0, 2]]","[[2, 0, 1], [0, 1, 1], [0, 0, 2]]"
      OX ,4,   X  OX ,"[[0, 0, 0], [0, 0, 0], [2, 1, 0]]","[[0, 0, 0], [1, 0, 0], [2, 1, 0]]"
X O XOOX ,2,XXO XOOX ,"[[1, 0, 2], [0, 1, 2], [2, 1, 0]]","[[1, 1, 2], [0, 1, 2], [2, 1, 0]]"
 OOXX    ,1,XOOXX    ,"[[0, 2, 2], [1, 1, 0], [0, 0, 0]]","[[1, 2, 2], [1, 1, 0], [0, 0, 0]]"
     X   ,9,     X  O,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 2]]"
       X ,2, O     X ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 2, 0], [0, 0, 0], [0, 1, 0]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
       X ,7,      OX ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 0, 0], [2, 1, 0]]"
X  X   O ,7,X  X  OO ,"[[1, 0, 0], [1, 0, 0], [0, 2, 0]]","[[1, 0, 0], [1, 0, 0], [2, 2, 0]]"
OX   OX  ,8,OX   OXX ,"[[2, 1, 0], [0, 0, 2], [1, 0, 0]]","[[2, 1, 0], [0, 0, 2], [1, 1, 0]]"
 XO     X,5, XO O   X,"[[0, 1, 2], [0, 0, 0], [0, 0, 1]]","[[0, 1, 2], [0, 2, 0], [0, 0, 1]]"
XO  X XOO,6,XO  XXXOO,"[[1, 2, 0], [0, 1, 0], [1, 2, 2]]","[[1, 2, 0], [0, 1, 1], [1, 2, 2]]"
OO XX XOX,3,OOOXX XOX,"[[2, 2, 0], [1, 1, 0], [1, 2, 1]]","[[2, 2, 2], [1, 1, 0], [1, 2, 1]]"
O X XO  X,7,O X XOO X,"[[2, 0, 1], [0, 1, 2], [0, 0, 1]]","[[2, 0, 1], [0, 1, 2], [2, 0, 1]]"
         ,5,      X  ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [1, 0, 0]]"
 XO      ,7, XO   X  ,"[[0, 1, 2], [0, 0, 0], [0, 0, 0]]","[[0, 1, 2], [0, 0, 0], [1, 0, 0]]"
   XOX  O,7,   XOXX O,"[[0, 0, 0], [1, 2, 1], [0, 0, 2]]","[[0, 0, 0], [1, 2, 1], [1, 0, 2]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
O X  OX  ,9,O X  OX X,"[[2, 0, 1], [0, 0, 2], [1, 0, 0]]","[[2, 0, 1], [0, 0, 2], [1, 0, 1]]"
   O  X X,1,O  O  X X,"[[0, 0, 0], [2, 0, 0], [1, 0, 1]]","[[2, 0, 0], [2, 0, 0], [1, 0, 1]]"
        X,5,    O   X,"[[0, 0, 0], [0, 0, 0], [0, 0, 1]]","[[0, 0, 0], [0, 2, 0], [0, 0, 1]]"
     X   ,9,     X  O,"[[0, 0, 0], [0, 0, 1], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 2]]"
X  O OXX ,9,X  O OXXO,"[[1, 0, 0], [2, 0, 2], [1, 1, 0]]","[[1, 0, 0], [2, 0, 2], [1, 1, 2]]"
O   OX  X,8,O   OX XX,"[[2, 0, 0], [0, 2, 1], [0, 0, 1]]","[[2, 0, 0], [0, 2, 1], [0, 1, 1]]"
X    X  O,4,X  O X  O,"[[1, 0, 0], [0, 0, 1], [0, 0, 2]]","[[1, 0, 0], [2, 0, 1], [0, 0, 2]]"
      X  ,5,    O X  ,"[[0, 0, 0], [0, 0, 0], [1, 0, 0]]","[[0, 0, 0], [0, 2, 0], [1, 0, 0]]"
X X OO OX,2,XXX OO OX,"[[1, 0, 1], [0, 2, 2], [0, 2, 1]]","[[1, 1, 1], [0, 2, 2], [0, 2, 1]]"
X  XOXOXO,3,X OXOXOXO,"[[1, 0, 0], [1, 2, 1], [2, 1, 2]]","[[1, 0, 2], [1, 2, 1], [2, 1, 2]]"
  OX     ,1,X OX     ,"[[0, 0, 2], [1, 0, 0], [0, 0, 0]]","[[1, 0, 2], [1, 0, 0], [0, 0, 0]]"
 XX OOX O,1,XXX OOX O,"[[0, 1, 1], [0, 2, 2], [1, 0, 2]]","[[1, 1, 1], [0, 2, 2], [1, 0, 2]]"
X  OO X  ,6,X  OOXX  ,"[[1, 0, 0], [2, 2, 0], [1, 0, 0]]","[[1, 0, 0], [2, 2, 1], [1, 0, 0]]"
   X O X ,1,O  X O X ,"[[0, 0, 0], [1, 0, 2], [0, 1, 0]]","[[2, 0, 0], [1, 0, 2], [0, 1, 0]]"
    XXXOO,4,   OXXXOO,"[[0, 0, 0], [0, 1, 1], [1, 2, 2]]","[[0, 0, 0], [2, 1, 1], [1, 2, 2]]"
  OX XO X,5,  OXOXO X,"[[0, 0, 2], [1, 0, 1], [2, 0, 1]]","[[0, 0, 2], [1, 2, 1], [2, 0, 1]]"
 O X     ,5, O XX    ,"[[0, 2, 0], [1, 0, 0], [0, 0, 0]]","[[0, 2, 0], [1, 1, 0], [0, 0, 0]]"
OXXXOOX  ,9,OXXXOOX O,"[[2, 1, 1], [1, 2, 2], [1, 0, 0]]","[[2, 1, 1], [1, 2, 2], [1, 0, 2]]"
       X ,9,       XO,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 0, 0], [0, 1, 2]]"
  XOOXXXO,1,O XOOXXXO,"[[0, 0, 1], [2, 2, 1], [1, 1, 2]]","[[2, 0, 1], [2, 2, 1], [1, 1, 2]]"
   XX  O ,9,   XX  OO,"[[0, 0, 0], [1, 1, 0], [0, 2, 0]]","[[0, 0, 0], [1, 1, 0], [0, 2, 2]]"
    OO XX,7,    OOXXX,"[[0, 0, 0], [0, 2, 2], [0, 1, 1]]","[[0, 0, 0], [0, 2, 2], [1, 1, 1]]"
     X  O,7,     XX O,"[[0, 0, 0], [0, 0, 1], [0, 0, 2]]","[[0, 0, 0], [0, 0, 1], [1, 0, 2]]"
         ,5,       X ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 0], [0, 1, 0]]"
  XO  X O,1,X XO  X O,"[[0, 0, 1], [2, 0, 0], [1, 0, 2]]","[[1, 0, 1], [2, 0, 0], [1, 0, 2]]"
 XXX OO  ,1,OXXX OO  ,"[[0, 1, 1], [1, 0, 2], [2, 0, 0]]","[[2, 1, 1], [1, 0, 2], [2, 0, 0]]"
   X     ,6,   X O   ,"[[0, 0, 0], [1, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 0, 2], [0, 0, 0]]"
OXXXXO OO,7,OXXXXOXOO,"[[2, 1, 1], [1, 1, 2], [0, 2, 2]]","[[2, 1, 1], [1, 1, 2], [1, 2, 2]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
  XXOX O ,9,  XXOX OO,"[[0, 0, 1], [1, 2, 1], [0, 2, 0]]","[[0, 0, 1], [1, 2, 1], [0, 2, 2]]"
OO X XXOX,3,OOOX XXOX,"[[2, 2, 0], [1, 0, 1], [1, 2, 1]]","[[2, 2, 2], [1, 0, 1], [1, 2, 1]]"
 X   XXOO,4, X O XXOO,"[[0, 1, 0], [0, 0, 1], [1, 2, 2]]","[[0, 1, 0], [2, 0, 1], [1, 2, 2]]"
    X    ,3,  O X    ,"[[0, 0, 0], [0, 1, 0], [0, 0, 0]]","[[0, 0, 2], [0, 1, 0], [0, 0, 0]]"
      X  ,5,    O X  ,"[[0, 0, 0], [0, 0, 0], [1, 0, 0]]","[[0, 0, 0], [0, 2, 0], [1, 0, 0]]"
  XO OX  ,5,  XOXOX  ,"[[0, 0, 1], [2, 0, 2], [1, 0, 0]]","[[0, 0, 1], [2, 1, 2], [1, 0, 0]]"
 O   O XX,5, O  XO XX,"[[0, 2, 0], [0, 0, 2], [0, 1, 1]]","[[0, 2, 0], [0, 1, 2], [0, 1, 1]]"
         ,5,   X     ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [1, 0, 0], [0, 0, 0]]"
X        ,5,X   O    ,"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 2, 0], [0, 0, 0]]"
 X   OOX ,1,XX   OOX ,"[[0, 1, 0], [0, 0, 2], [2, 1, 0]]","[[1, 1, 0], [0, 0, 2], [2, 1, 0]]"
    OXOXX,3,  O OXOXX,"[[0, 0, 0], [0, 2, 1], [2, 1, 1]]","[[0, 0, 2], [0, 2, 1], [2, 1, 1]]"
   OXX   ,7,   OXXO  ,"[[0, 0, 0], [2, 1, 1], [0, 0, 0]]","[[0, 0, 0], [2, 1, 1], [2, 0, 0]]"
X X X  OO,7,X X X OOO,"[[1, 0, 1], [0, 1, 0], [0, 2, 2]]","[[1, 0, 1], [0, 1, 0], [2, 2, 2]]"
 X  O OX ,1,XX  O OX ,"[[0, 1, 0], [0, 2, 0], [2, 1, 0]]","[[1, 1, 0], [0, 2, 0], [2, 1, 0]]"
   O  X  ,5,   OX X  ,"[[0, 0, 0], [2, 0, 0], [1, 0, 0]]","[[0, 0, 0], [2, 1, 0], [1, 0, 0]]"
  O OXX  ,9,  O OXX X,"[[0, 0, 2], [0, 2, 1], [1, 0, 0]]","[[0, 0, 2], [0, 2, 1], [1, 0, 1]]"
XOXXX OO ,9,XOXXX OOO,"[[1, 2, 1], [1, 1, 0], [2, 2, 0]]","[[1, 2, 1], [1, 1, 0], [2, 2, 2]]"
O X  X   ,5,O X OX   ,"[[2, 0, 1], [0, 0, 1], [0, 0, 0]]","[[2, 0, 1], [0, 2, 1], [0, 0, 0]]"
   XO  X ,7,   XO OX ,"[[0, 0, 0], [1, 2, 0], [0, 1, 0]]","[[0, 0, 0], [1, 2, 0], [2, 1, 0]]"
       X ,7,      OX ,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 0, 0], [2, 1, 0]]"
XOX O    ,8,XOX O  X ,"[[1, 2, 1], [0, 2, 0], [0, 0, 0]]","[[1, 2, 1], [0, 2, 0], [0, 1, 0]]"
         ,5,     X   ,"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[0, 0, 0], [0, 0, 1], [0, 0, 0]]"
 XX  OX O,5, XX OOX O,"[[0, 1, 1], [0, 0, 2], [1, 0, 2]]","[[0, 1, 1], [0, 2, 2], [1, 0, 2]]"
XOXXO O X,8,XOXXO OOX,"[[1, 2, 1], [1, 2, 0], [2, 0, 1]]","[[1, 2, 1], [1, 2, 0], [2, 2, 1]]"
X    O OX,2,XX   O OX,"[[1, 0, 0], [0, 0, 2], [0, 2, 1]]","[[1, 1, 0], [0, 0, 2], [0, 2, 1]]"
       X ,9,       XO,"[[0, 0, 0], [0, 0, 0], [0, 1, 0]]","[[0, 0, 0], [0, 0, 0], [0, 1, 2]]"
  X  OX O,1,X X  OX O,"[[0, 0, 1], [0, 0, 2], [1, 0, 2]]","[[1, 0, 1], [0, 0, 2], [1, 0, 2]]"
 XX OO  X,4, XXOOO  X,"[[0, 1, 1], [0, 2, 2], [0, 0, 1]]","[[0, 1, 1], [2, 2, 2], [0, 0, 1]]"
